city,latitude,longitude
1,-810,735
2,-438,534
3,-64,-288
4,-472,-621
5,239,-359
6,631,287
7,20,-335
8,-969,-501
9,495,-560
10,-67,667
11,-727,-671
12,-577,846
13,-867,627
14,833,-827
15,-582,42
16,-79,242
17,-818,476
18,-591,-614
19,644,89
20,-603,109
21,287,376
22,509,-280
23,6,638
24,-245,-55
25,-823,-463
26,-756,418
27,703,907
28,705,-461
29,-387,-231
30,-385,-711
31,-815,448
32,550,558
33,-990,-561
34,-695,-122
35,993,493
36,-124,-631
37,895,782
38,353,-786
39,-433,-634
40,-343,-86
41,-224,-700
42,-435,-316
43,534,183
44,-808,-173
45,604,337
46,508,-877
47,509,916
48,244,99
49,-160,-216
50,295,407
